FILENAME: `OmniAutoOps/BIP-927-137-0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e.json`
MULTISIG: `multisigs/omni (polygon:0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e)`
COMMIT: `cc4c2ca86f15f07ac3a24ec1bd3a07d7af7d6a91`
CHAIN(S): `polygon`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/eb20db4d-edf8-4605-9485-dbd51bd0d2a9)

```
+-----------------------+-------------------------------------------+--------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------+---------+----------+
| function              | caller_name                               | caller_address                             | fx_paths                                                                                                                               | action_ids                                                         |   bip   | tx_index |
+-----------------------+-------------------------------------------+--------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------+---------+----------+
| Authorizer/revokeRole | 20220916-batch-relayer-v4/BalancerRelayer | 0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b | 20210418-vault/Vault/batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256) | 0x1282ab709b2b70070f829c46bc36f76b32ad4989fecb2fcb09a1b3ce00bbfc30 | BIP-927 |    0     |
| Authorizer/revokeRole | 20220916-batch-relayer-v4/BalancerRelayer | 0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b | 20210418-vault/Vault/exitPool(bytes32,address,address,(address[],uint256[],bytes,bool))                                                | 0xc149e88b59429ded7f601ab52ecd62331cac006ae07c16543439ed138dcb8d34 | BIP-927 |    1     |
| Authorizer/revokeRole | 20220916-batch-relayer-v4/BalancerRelayer | 0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b | 20210418-vault/Vault/joinPool(bytes32,address,address,(address[],uint256[],bytes,bool))                                                | 0x78ad1b68d148c070372f8643c4648efbb63c6a8a338f3c24714868e791367653 | BIP-927 |    2     |
| Authorizer/revokeRole | 20220916-batch-relayer-v4/BalancerRelayer | 0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b | 20210418-vault/Vault/manageUserBalance((uint8,address,uint256,address,address)[])                                                      | 0xeba777d811cd36c06d540d7ff2ed18ed042fd67bbf7c9afcf88c818c7ee6b498 | BIP-927 |    3     |
| Authorizer/revokeRole | 20220916-batch-relayer-v4/BalancerRelayer | 0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b | 20210418-vault/Vault/setRelayerApproval(address,address,bool)                                                                          | 0x0014a06d322ff07fcc02b12f93eb77bb76e28cdee4fc0670b9dec98d24bbfec8 | BIP-927 |    4     |
| Authorizer/revokeRole | 20220916-batch-relayer-v4/BalancerRelayer | 0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b | 20210418-vault/Vault/swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)                   | 0x7b8a1d293670124924a0f532213753b89db10bde737249d4540e9a03657d1aff | BIP-927 |    5     |
| Authorizer/revokeRole | 20211203-batch-relayer/BalancerRelayer    | 0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e | 20210418-vault/Vault/batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256) | 0x1282ab709b2b70070f829c46bc36f76b32ad4989fecb2fcb09a1b3ce00bbfc30 | BIP-927 |    6     |
| Authorizer/revokeRole | 20211203-batch-relayer/BalancerRelayer    | 0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e | 20210418-vault/Vault/exitPool(bytes32,address,address,(address[],uint256[],bytes,bool))                                                | 0xc149e88b59429ded7f601ab52ecd62331cac006ae07c16543439ed138dcb8d34 | BIP-927 |    7     |
| Authorizer/revokeRole | 20211203-batch-relayer/BalancerRelayer    | 0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e | 20210418-vault/Vault/joinPool(bytes32,address,address,(address[],uint256[],bytes,bool))                                                | 0x78ad1b68d148c070372f8643c4648efbb63c6a8a338f3c24714868e791367653 | BIP-927 |    8     |
| Authorizer/revokeRole | 20211203-batch-relayer/BalancerRelayer    | 0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e | 20210418-vault/Vault/manageUserBalance((uint8,address,uint256,address,address)[])                                                      | 0xeba777d811cd36c06d540d7ff2ed18ed042fd67bbf7c9afcf88c818c7ee6b498 | BIP-927 |    9     |
| Authorizer/revokeRole | 20211203-batch-relayer/BalancerRelayer    | 0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e | 20210418-vault/Vault/setRelayerApproval(address,address,bool)                                                                          | 0x0014a06d322ff07fcc02b12f93eb77bb76e28cdee4fc0670b9dec98d24bbfec8 | BIP-927 |    10    |
| Authorizer/revokeRole | 20211203-batch-relayer/BalancerRelayer    | 0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e | 20210418-vault/Vault/swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)                   | 0x7b8a1d293670124924a0f532213753b89db10bde737249d4540e9a03657d1aff | BIP-927 |    11    |
